,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,week,month,revenue,lag_week,lag_q,lag_unit_price
383100,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,17850.0,United Kingdom,48,12,15.299999999999999,,,
383111,536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 9:02,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,6.0,2.55
383127,536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 9:32,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,6.0,2.55
350223,536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/1/2010 10:19,2.55,17511.0,United Kingdom,48,12,163.2,48.0,6.0,2.55
73143,536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/1/2010 10:39,2.55,13408.0,United Kingdom,48,12,81.6,48.0,64.0,2.55
383145,536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 10:51,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,32.0,2.55
248630,536401,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/1/2010 11:21,2.95,15862.0,United Kingdom,48,12,11.8,48.0,6.0,2.55
383165,536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/1/2010 11:33,2.55,17850.0,United Kingdom,48,12,20.4,48.0,4.0,2.95
288264,536502,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 12:36,2.95,16552.0,United Kingdom,48,12,17.700000000000003,48.0,8.0,2.55
169273,536520,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/1/2010 12:43,2.95,14729.0,United Kingdom,48,12,8.850000000000001,48.0,6.0,2.95
282575,536542,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/1/2010 14:11,2.95,16456.0,United Kingdom,48,12,94.4,48.0,3.0,2.95
407166,536544,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/1/2010 14:32,5.91,,United Kingdom,48,12,23.64,48.0,32.0,2.95
94255,536575,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,12/1/2010 16:01,2.55,13777.0,United Kingdom,48,12,326.4,48.0,4.0,5.91
94267,536576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,12/1/2010 16:11,2.55,13777.0,United Kingdom,48,12,326.4,48.0,128.0,2.55
50061,536590,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 16:52,2.95,13065.0,United Kingdom,48,12,17.700000000000003,48.0,128.0,2.55
407908,536592,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,12/1/2010 17:06,5.91,,United Kingdom,48,12,53.19,48.0,6.0,2.95
207279,536594,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 17:22,2.95,15235.0,United Kingdom,48,12,17.700000000000003,48.0,9.0,5.91
383184,536600,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 8:32,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,6.0,2.95
383208,536602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 8:34,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,6.0,2.55
367145,536607,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 9:29,2.95,17732.0,United Kingdom,48,12,17.700000000000003,48.0,6.0,2.55
383212,536609,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 9:41,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,6.0,2.95
383230,536612,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 9:44,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,6.0,2.55
383247,536628,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 10:54,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,6.0,2.55
383265,536630,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 10:56,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,6.0,2.55
