,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,week,month,revenue,lag_q,lag_unit_price,lag_week
241673,552654,23084,RABBIT NIGHT LIGHT,2,5/10/2011 14:20,2.08,15756.0,United Kingdom,19,5,4.16,,,
73847,552724,23084,RABBIT NIGHT LIGHT,6,5/11/2011 10:29,2.08,13418.0,United Kingdom,19,5,12.48,2.0,2.08,19.0
363299,552811,23084,RABBIT NIGHT LIGHT,24,5/11/2011 12:43,1.79,17677.0,United Kingdom,19,5,42.96,6.0,2.08,19.0
225470,552816,23084,RABBIT NIGHT LIGHT,1,5/11/2011 12:47,2.08,15521.0,United Kingdom,19,5,2.08,24.0,1.79,19.0
225514,552822,23084,RABBIT NIGHT LIGHT,30,5/11/2011 12:59,1.79,15521.0,United Kingdom,19,5,53.7,1.0,2.08,19.0
108631,552824,23084,RABBIT NIGHT LIGHT,3,5/11/2011 13:16,2.08,14056.0,United Kingdom,19,5,6.24,30.0,1.79,19.0
87639,552828,23084,RABBIT NIGHT LIGHT,6,5/11/2011 13:23,2.08,13662.0,United Kingdom,19,5,12.48,3.0,2.08,19.0
22094,552844,23084,RABBIT NIGHT LIGHT,18,5/11/2011 14:37,2.08,12649.0,Germany,19,5,37.44,6.0,2.08,19.0
29039,552851,23084,RABBIT NIGHT LIGHT,120,5/11/2011 15:07,1.79,12731.0,France,19,5,214.8,18.0,2.08,19.0
462555,552862,23084,RABBIT NIGHT LIGHT,1,5/11/2011 16:51,2.08,,United Kingdom,19,5,2.08,120.0,1.79,19.0
19881,552875,23084,RABBIT NIGHT LIGHT,48,5/12/2011 9:41,1.79,12621.0,Germany,19,5,85.92,1.0,2.08,19.0
160225,552882,23084,RABBIT NIGHT LIGHT,24,5/12/2011 10:10,2.08,14646.0,Netherlands,19,5,49.92,48.0,1.79,19.0
5802,552956,23084,RABBIT NIGHT LIGHT,12,5/12/2011 12:34,2.08,12431.0,Australia,19,5,24.96,24.0,2.08,19.0
77566,552965,23084,RABBIT NIGHT LIGHT,6,5/12/2011 13:10,2.08,13477.0,United Kingdom,19,5,12.48,12.0,2.08,19.0
462717,553013,23084,RABBIT NIGHT LIGHT,8,5/12/2011 18:19,2.08,,United Kingdom,19,5,16.64,6.0,2.08,19.0
75757,553014,23084,RABBIT NIGHT LIGHT,3,5/12/2011 18:49,2.08,13451.0,United Kingdom,19,5,6.24,8.0,2.08,19.0
24480,553044,23084,RABBIT NIGHT LIGHT,12,5/13/2011 9:24,2.08,12682.0,France,19,5,24.96,3.0,2.08,19.0
130418,553048,23084,RABBIT NIGHT LIGHT,6,5/13/2011 10:02,2.08,14291.0,United Kingdom,19,5,12.48,12.0,2.08,19.0
333119,553061,23084,RABBIT NIGHT LIGHT,6,5/13/2011 11:12,2.08,17238.0,United Kingdom,19,5,12.48,6.0,2.08,19.0
369991,553129,23084,RABBIT NIGHT LIGHT,4,5/13/2011 12:34,2.08,17765.0,United Kingdom,19,5,8.32,6.0,2.08,19.0
463072,553175,23084,RABBIT NIGHT LIGHT,1,5/15/2011 11:17,2.08,,United Kingdom,19,5,2.08,4.0,2.08,19.0
272628,553194,23084,RABBIT NIGHT LIGHT,3,5/15/2011 13:37,2.08,16283.0,United Kingdom,19,5,6.24,1.0,2.08,19.0
23249,553208,23084,RABBIT NIGHT LIGHT,6,5/16/2011 9:10,2.08,12674.0,France,20,5,12.48,3.0,2.08,19.0
290451,553221,23084,RABBIT NIGHT LIGHT,6,5/16/2011 9:58,2.08,16607.0,United Kingdom,20,5,12.48,6.0,2.08,20.0
48046,553235,23084,RABBIT NIGHT LIGHT,6,5/16/2011 11:13,2.08,13018.0,United Kingdom,20,5,12.48,6.0,2.08,20.0
24495,553316,23084,RABBIT NIGHT LIGHT,6,5/16/2011 12:04,2.08,12682.0,France,20,5,12.48,6.0,2.08,20.0
463227,553387,23084,RABBIT NIGHT LIGHT,2,5/16/2011 16:33,4.13,,United Kingdom,20,5,8.26,6.0,2.08,20.0
251177,553388,23084,RABBIT NIGHT LIGHT,2,5/16/2011 16:36,2.08,15910.0,United Kingdom,20,5,4.16,2.0,4.13,20.0
463376,553389,23084,RABBIT NIGHT LIGHT,1,5/16/2011 16:37,4.13,,United Kingdom,20,5,4.13,2.0,2.08,20.0
463475,553393,23084,RABBIT NIGHT LIGHT,4,5/16/2011 16:46,4.13,,United Kingdom,20,5,16.52,1.0,4.13,20.0
386348,553402,23084,RABBIT NIGHT LIGHT,4,5/16/2011 17:13,2.08,17898.0,United Kingdom,20,5,8.32,4.0,4.13,20.0
27473,553411,23084,RABBIT NIGHT LIGHT,12,5/17/2011 9:28,2.08,12714.0,France,20,5,24.96,4.0,2.08,20.0
8277,553415,23084,RABBIT NIGHT LIGHT,6,5/17/2011 10:02,2.08,12463.0,Belgium,20,5,12.48,12.0,2.08,20.0
98554,553417,23084,RABBIT NIGHT LIGHT,6,5/17/2011 10:08,2.08,13871.0,United Kingdom,20,5,12.48,6.0,2.08,20.0
240052,553489,23084,RABBIT NIGHT LIGHT,6,5/17/2011 12:43,2.08,15730.0,United Kingdom,20,5,12.48,6.0,2.08,20.0
106430,553537,23084,RABBIT NIGHT LIGHT,12,5/17/2011 15:25,2.08,14032.0,United Kingdom,20,5,24.96,6.0,2.08,20.0
246995,553538,23084,RABBIT NIGHT LIGHT,6,5/17/2011 15:26,2.08,15855.0,United Kingdom,20,5,12.48,12.0,2.08,20.0
9709,553547,23084,RABBIT NIGHT LIGHT,18,5/17/2011 15:48,2.08,12474.0,Germany,20,5,37.44,6.0,2.08,20.0
464082,553549,23084,RABBIT NIGHT LIGHT,1,5/17/2011 16:09,4.13,,United Kingdom,20,5,4.13,18.0,2.08,20.0
265408,553553,23084,RABBIT NIGHT LIGHT,12,5/17/2011 16:32,2.08,16156.0,United Kingdom,20,5,24.96,1.0,4.13,20.0
25692,553566,23084,RABBIT NIGHT LIGHT,12,5/18/2011 9:09,2.08,12690.0,France,20,5,24.96,12.0,2.08,20.0
295597,553653,23084,RABBIT NIGHT LIGHT,24,5/18/2011 11:08,1.79,16701.0,United Kingdom,20,5,42.96,12.0,2.08,20.0
61371,553703,23084,RABBIT NIGHT LIGHT,6,5/18/2011 14:57,2.08,13192.0,United Kingdom,20,5,12.48,24.0,1.79,20.0
97546,553706,23084,RABBIT NIGHT LIGHT,6,5/18/2011 15:23,2.08,13854.0,United Kingdom,20,5,12.48,6.0,2.08,20.0
464241,553718,23084,RABBIT NIGHT LIGHT,2,5/18/2011 16:14,4.13,,United Kingdom,20,5,8.26,6.0,2.08,20.0
340155,553833,23084,RABBIT NIGHT LIGHT,2,5/19/2011 11:41,2.08,17346.0,United Kingdom,20,5,4.16,2.0,4.13,20.0
205415,553834,23084,RABBIT NIGHT LIGHT,12,5/19/2011 11:47,2.08,15189.0,United Kingdom,20,5,24.96,2.0,2.08,20.0
320299,553837,23084,RABBIT NIGHT LIGHT,12,5/19/2011 12:09,2.08,17017.0,United Kingdom,20,5,24.96,12.0,2.08,20.0
376859,553860,23084,RABBIT NIGHT LIGHT,1,5/19/2011 13:57,2.08,17841.0,United Kingdom,20,5,2.08,12.0,2.08,20.0
18555,553884,23084,RABBIT NIGHT LIGHT,12,5/19/2011 15:36,2.08,12600.0,Germany,20,5,24.96,1.0,2.08,20.0
464684,553890,23084,RABBIT NIGHT LIGHT,3,5/19/2011 16:32,4.13,,United Kingdom,20,5,12.39,12.0,2.08,20.0
181868,553901,23084,RABBIT NIGHT LIGHT,6,5/19/2011 17:48,2.08,14911.0,EIRE,20,5,12.48,3.0,4.13,20.0
206847,553996,23084,RABBIT NIGHT LIGHT,12,5/20/2011 11:33,2.08,15220.0,United Kingdom,20,5,24.96,6.0,2.08,20.0
24499,554109,23084,RABBIT NIGHT LIGHT,24,5/22/2011 14:33,1.79,12682.0,France,20,5,42.96,12.0,2.08,20.0
92939,554117,23084,RABBIT NIGHT LIGHT,6,5/22/2011 15:12,2.08,13758.0,United Kingdom,20,5,12.48,24.0,1.79,20.0
5109,554147,23084,RABBIT NIGHT LIGHT,6,5/23/2011 10:48,2.08,12423.0,Belgium,21,5,12.48,6.0,2.08,20.0
376924,554160,23084,RABBIT NIGHT LIGHT,1,5/23/2011 11:49,2.08,17841.0,United Kingdom,21,5,2.08,6.0,2.08,21.0
212242,554268,23084,RABBIT NIGHT LIGHT,1,5/23/2011 12:59,2.08,15311.0,United Kingdom,21,5,2.08,1.0,2.08,21.0
23123,554356,23084,RABBIT NIGHT LIGHT,18,5/24/2011 9:25,2.08,12670.0,France,21,5,37.44,1.0,2.08,21.0
361433,554371,23084,RABBIT NIGHT LIGHT,24,5/24/2011 10:42,1.79,17659.0,United Kingdom,21,5,42.96,18.0,2.08,21.0
274482,554494,23084,RABBIT NIGHT LIGHT,1,5/24/2011 14:00,2.08,16327.0,United Kingdom,21,5,2.08,24.0,1.79,21.0
245196,554497,23084,RABBIT NIGHT LIGHT,6,5/24/2011 14:38,2.08,15819.0,United Kingdom,21,5,12.48,1.0,2.08,21.0
130239,554502,23084,RABBIT NIGHT LIGHT,6,5/24/2011 14:47,2.08,14289.0,United Kingdom,21,5,12.48,6.0,2.08,21.0
465176,554511,23084,RABBIT NIGHT LIGHT,2,5/24/2011 15:52,4.13,,United Kingdom,21,5,8.26,6.0,2.08,21.0
465435,554512,23084,RABBIT NIGHT LIGHT,2,5/24/2011 15:54,4.13,,United Kingdom,21,5,8.26,2.0,4.13,21.0
465598,554514,23084,RABBIT NIGHT LIGHT,1,5/24/2011 15:58,4.13,,United Kingdom,21,5,4.13,2.0,4.13,21.0
55843,554545,23084,RABBIT NIGHT LIGHT,12,5/25/2011 9:35,2.08,13102.0,United Kingdom,21,5,24.96,1.0,4.13,21.0
55853,554547,23084,RABBIT NIGHT LIGHT,12,5/25/2011 9:37,2.08,13102.0,United Kingdom,21,5,24.96,12.0,2.08,21.0
15845,554648,23084,RABBIT NIGHT LIGHT,24,5/25/2011 12:44,1.79,12562.0,France,21,5,42.96,12.0,2.08,21.0
24001,554650,23084,RABBIT NIGHT LIGHT,24,5/25/2011 12:54,1.79,12681.0,France,21,5,42.96,24.0,1.79,21.0
465839,554653,23084,RABBIT NIGHT LIGHT,1,5/25/2011 13:33,2.08,,United Kingdom,21,5,2.08,24.0,1.79,21.0
84525,554666,23084,RABBIT NIGHT LIGHT,6,5/25/2011 14:54,2.08,13599.0,United Kingdom,21,5,12.48,1.0,2.08,21.0
465985,554694,23084,RABBIT NIGHT LIGHT,1,5/25/2011 17:06,4.13,,United Kingdom,21,5,4.13,6.0,2.08,21.0
